keyword,summary,label
온실가스 배출,신세계는 배출권거래제 대상 기업으로 온실가스 배출을 감축하기 위해 고효율 기자재를 지속적으로 도입하고 에너지 절감을 위한 효율적인 운영 기준을 수립하는 등 전사적 차원에서 다양한 투자와 노력을 기울이고 있다.,e
플라스틱 재활용,신세계는 플라스틱의 재활용률을 높이기 위해 다양한 노력을 전개해 나가고 있으며 플라스틱 패키지 재질을 단일화하고 플라스틱을 무색으로 전환하여 재활용 가능한 패키지 설계 비율을 향상시키고자 노력하고 있습니다.,e
환경 보호,무분별한 플라스틱 사용은 환경오염 및 기후변화를 일으키고 아이들의 미래 생존권을 위협하므로 세이브더칠드런과 협업하여 폐플라스틱 업사이클링 기부캠페인을 추진하고 이를 통해 환경보호 및 취약계층을 지원하는 폐플라스틱 선순환 모델을 구축하였다.,e
친환경 경영,신세계백화점과 조선호텔앤리조트는 폐리넨으로 반려동물용품을 만드는 브랜드 레미투미와 협업하여 자원선순환 캠페인을 진행하였다.,e
안전 준법,신세계는 안전보건담당을 선임하여 중대산업재해와 중대시민재해에 대한 사고예방업무를 체계적으로 관리하고 있으며 안전과 관련된 업무 메뉴얼 및 사내 규정 및 지침을 수립함으로써 사업장에서 이행 관리 될 수 있도록 지속적인 점검을 실시하고 있다.,s
고객 대상,신세계는 정기 및 비정기적으로 고객의 Pain point를 찾아 개선해 나가고 있다.,s
협력 관계,신세계는 동반성장 전담 조직을 개설하고 전 임직원의 참여를 독려하는 등 협력회사와 함께 성장하기 위해 노력하며 신세계는 다양한 동반성장 프로그램을 운영하여 협력회사와의 동반성장을 위해 노력하고 있다.,s
매장 환경,신세계는 고객과 직원에게 쾌적한 실내 환경을 제공하기 위하여 영업 매장과 실내 주차장의 공기질 관리에 힘쓰고 있으며 앞으로도 다양한 노력을 전개하여 고객의 안전을 위한 관리를 지속적으로 강화해 나갈 것이다.,s
위험 관리,신세계는 비즈니스 추진 단계부터 시스템 구축 및 운영 등 전 과정까지 Privacy by Design 원칙을 엄격히 적용하여 모든 법규 리스크를 사전 예방하고 있다.,s
중소기업 판로,중소기업의 판로지원 기회를 제공하기 위해 정부 주최의 공개 구매상담회에 적극 참여하고 있으며 구매상담회를 통해 국내 중소기업에게 백화점 입점 노하우 제공 및 판로를 지원하고 있다.,s
공정거래,신세계는 공정거래 자율준수를 기업문화로 정착시키기 위해 영업 부문의 핵심적 사항에 대한 정기적인 점검을 실시하고 있으며 내 외부 채널을 통해 들어오는 사안들에 대해 수시로 실사조사를 실시하여 조사결과 문제점 발견 시 경중에 따라 제재 조치를 시행하고 있다.,s
임직원 윤리,신세계는 임직원 대상 리스크 예방 교육을 정기적으로 진행하여 윤리경영에 대한 임직원들의 의식 수준을 함양하고자 노력하고 있으며 온라인 교육 플랫폼을 통한 비대면 교육을 진행하여 많은 임직원들이 교육에 참여할 수 있도록 지원하고 있다.,s
지인 거래 제도,신세계는 백화점 입점에 대한 공정한 기회를 부여하고자 협력회사와 신규거래 및 재계약 시 공정한 기준과 절차를 도입하여 운영하고 있습니다.,s
임직원 고충,신세계는 각 사업장별로 고충처리 위원회를 구성하여 임직원들의 원활한 고충 처리 및 재발 방지를 위해 노력하고 있으며 온라인 고충 접수 뿐만 아니라 직접 대면으로 고충을 접수할 수 있는 오프라인 채널도 마련되어 있다.,s
이사회 경영,신세계는 이사회 중심 경영을 기본 원칙으로 한 지배구조를 갖추고 있으며 이사회는 효과적인 기능 수행을 통해서 경영진이나 지배주주의 독단적인 경영을 감독 및 견제하며 기업의 부실화를 사전에 예방함으로써 소액주주 등의 이해관계자들을 보호하는데 최선을 다하고 있다.,g
