keyword,text,label
폐기물,GS SHOP의 경우 부직포 의류커버를 업사이클링하여 가방으로 탄생시켜 고객들에게 제공하고 있으며 부직포는 재활용되지 않는 소재로 연간 31만장 이상의 부직포가 일반쓰레기로 폐기되었으나 에코백으로 업사이클링하여 연간 폐기량의 20퍼센트를 감축하는 것을 목표로 추진하고 있다.,e
사용량,기존 SEMS는 냉난방기의 원격 관리를 통한 실내 온도를 관리하며 전력 이상 발생 시 PUSH 알람을 활용한 에너지 총량을 관리하는데 2022년의 SEMS는 이상 온도 PUSH 알람을 통해 점포 근무자보다 먼저 ASS 발생을 인지하고 확인 조치하며 점포의 적정 전기 사용량을 제공 및 관리하는 스마트 원격 운영관리시스템으로,e
온실가스,GS리테일은 유통업에서 중요한 물류단계에서 발생하는 환경 영향을 줄이기 위해 친환경 물류 시스템을 구축하고 온실가스 감축 목표를 수립하였으며 이를 달성하기 위한 다양한 사업을 단계적으로 추진하며 이행 실적을 관리하고 있습니다.,e
재활용,GS리테일이 BYN블랙야크와 협업하여 투명 페트병 재활용 확대를 위한 친환경 사업 제휴를 진행하였고 투명 페트병 수거함을 가까운 편의점에 도입함으로써 재활용 분리 배출에 대한 국민의 자발적 동참을 이끌어내고 동시에 자원 재활용에 기여할 수 있을 것으로 기대된다.,e
원단위,편의점 출점 증가 속도에 맞춰 2021년 이후 연간 2 증가값을 BAU로 설정하고 2025년까지 BAU 대비 5 감축 원단위는 전년 목표대비 1 감축을 목표로 설정하였습니다.,e
업사이클링,연간 국내 커피 찌꺼기 발생량은 약 30만톤 이상으로 폐기 시 발생하는 비용과 처리 과정의 환경문제 해결에 앞장서겠습니다.,e
음식물,편의점에서는 매일 약 2kg 내외 음식물 쓰레기가 발생하고 자원 낭비 및 처리를 위한 비 용 발생 점포 운영 시 악취로 인한 불편함 등의 문제가 있습니다.,e
물류센터,녹색물류는 지역별 상온 및 저온 통합 물류센터 34개소의 시설과 2 511대의 배송차량 등을 관리범위로 하고 있습니다.,e
지속적,점포 상황에 따라 냉장비 등의 효율적 활용을 위해 실시간 철거 정비 입고 등의 프로세스를 구축하여 재사용을 극대화하고 있습니다.,e
정보보호,GS리테일은 고객 정보보호를 중요시하며 이를 실천하기 위한 다양한 활동을 진행하고 있다.,s
협력사,GS리테일은 중소협력사 파트너사 가맹경영주에 재무적 비재무적 지원을 확대해 나가며 지속가능한 유통산업의 성장과 발전을 위해 힘쓰고 있다.,s
