keyword,summary,label
에너지 절감,전사적으로 에너지 절감 캠페인을 시행하고 있으며 에너지 사용량 측정 장치 설치와 전기 과설비 예방과 같은 조치들도 단계적으로 시행해 나갈 예정이다.,e
전력 소비,냉난방기는 조명시설과 함께 전력소비에 영향을 미치는 요소 중 하나이며 롯데하이마트는 2021년 전국 48개 매장 및 물류센터의 노후 전기식 냉난 방기 교체대상 71대를 고효율 인버터 냉난방기로 교체하였다.,e
안전 보건관리,롯데하이마트는 재해 건수 제로화를 목표로 산업 안전보건위원회를 운영하고 있으며 분기별 회의에서 사업장 안전보건을 위 한 각종 활동 심의 및 현황을 공유한다.,s
산업 안전,유통판매업의 특성상 매장과 물류센터에는 상품 적재 이동 등으로 안전사고가 발생할 가능성이 있어 매장 및 물류센터의 소방 및 전기시설 작동 점검 및 파지장 화재 예방 점검을 실시하여 안전사고에 선제적으로 대응하고 있다.,s
교류 활동,롯데하이마트는 중소 파트너사와 긴밀한 소통을 유지하여 동반성장을 달성하기 위해 각종 간담회와 문화 교류 행사를 운영하고 있다.,s
파트너 개발,롯데하이마트는 다양한 기술력을 갖춘 자체 브랜드 PB 상품 개발로 고객 만족도를 높임과 동시에 중소 파트너사 판로 확대를 위해 PB상품 개발 중소 파 트너사를 공개 모집했다.,s
중소기업 파트너,롯데하이마트는 4C 추진체계를 통해 파트너사와 동반자적 관계를 형성하고 경쟁력 강화를 지원하고 있으며 이는 롯데하이마트의 전국 유통망을 통해 파트너사의 매출 성장을 가져오며 우수한 제품 및 기술 혁신은 곧바로 롯데하이마트의 고객 창출로 이어진다.,s
품질 관리,PB 제품의 품질 관리를 강화하기 위해 다양한 품질 테스트를 실시할 수 있는 넓은 장소가 필요해 2021년 창동 사옥 품질 실험실을 확장 이 전하여 기존의 소비전력 및 전류 측정뿐만 아니라 감전 및 화재 위험 등을 확인하고 개선하여 품질안전을 확보하고 있다.,s
윤리 진단,롯데하이마트는 파트너사를 대상으로 외부기관을 통한 윤리진단 평가 를 실시하고 있는데 온라인 설문으로 진행하며 갑질행위 유 무 등을 포함한 윤리경영과 공정거래와 임직원 친절도를 포함 한 거래 만족도 평가 분야를 통해 개선사항을 도출할 수 있다.,s
역량 컨설팅,롯데하이마트는 동반성장 아카데미를 운영하여 중소 파트너사가 활용할 수 있는 다양한 교육 프로그램을 제공하고 있으며 동반성장 펀드를 통해 은행 대출 시 우대금리를 제공한다.,s
여성 임원,산출기준 산출기준 산출기준은 보고 연도 복귀 후 12개월 근속한 임직원 수 직전년도 업무 복귀한 임직원 수 업무 복귀 후 12개월 근속한 임직원 수 업무 복귀 후 12개월 근속한 임직원 수 보고 연도 복귀 후 12개월 근속한 임직원 수 보고 연도 복귀 후 12개월 근속한 임직원 수 보고 연도 복귀 후 12개월 근속한 임직원 수 보고,s
자율 준수,롯데하이마트는 공정거래위원회 규정에 따라 CP 담당조직을 운영하고 있으며 CP 총 책임자인 자율준수관리자는 이사회를 통해 선임하도록 하였으며 준법경영부문장이 임명되었습니다.,s
이사회 위원회,사외이사의 경우 이사회 기여도 영향력 전문성 적극성을 객관적으로 평가 하고 있으며 법령과 내규에서 요구하는 역할과 책임 수행 여부를 정기 검토하여 경영진 견제 역할을 제대로 수행할 수 있도록 지원하고 있습니다.,g
