keyword,summary,label
친환경,현대홈쇼핑은 회의실 내에 페이퍼리스 회의 환경을 조성하고 친환경 물류 환경을 구축하는 등 온실가스 배출 감축과 에너지 효율화를 위한 전사적 투자를 추진하고 있다.,e
재활용 포장재,현대홈쇼핑 물류센터에서는 물류 포장재와 관련한 환경 운영 방침을 기반으로 자원순환을 실천하고 있으며 포장재의 소비 및 폐기 과정에서 재활용률을 높이기 위해 포장재 겉면에 재활용 분류 표기를 하여 소비자의 재활용 인식도를 높이고 있다.,e
협력 방송,현대홈쇼핑은 고객 진정성 강화를 위해 Live 데이터 방송으로 판매되는 주얼리 상품에 대해 감정서 발급을 진행하고 있으며 방송 전 후 판매된 주얼리 전량에 대해 감정원 입고 후 전수검사 및 감정서 발급을 운영한다.,s
안전 보건,현대홈쇼핑은 2021년 산업안전보건법상 요구되는 회사 경영방침 및 관리규정을 제정하고 업무와 세부지침을 위한 가이드를 마련했으며 협력사를 포함하여 안전보건 업무별 상세 운영 기준 및 관리 기준을 마련하여 체계적으로 안전보건 현황을 파악하고 위험 요인을 밀착 관리하고 있다.,s
투명 거래,현대홈쇼핑은 모든 협력사를 존중하며 상호협력을 통한 공동발전을 추구하며 당사와 협력사는 상호 신뢰와 소통을 바탕으로 한 상생 파트너로서 공정거래를 기업경영의 중요한 요소로 인지하고 투명한 거래 질서를 확립하고자 노력하고 있다.,s
협력 관리,현대홈쇼핑은 코로나19 장기화로 어려움을 겪고 있는 국내 중소협력사에 보다 실효성 있는 복리후생을 지원하고자 다양한 제도를 운영하고 있으며 협력사의 경쟁력 강화를 위해 품질연구소 주관 협력사 관리 역량 향상 교육을 진행하고 있다.,s
품질 관리,현대홈쇼핑은 상품 사후 관리를 통해 고객에게 더 건강하고 안전한 상품을 제공하기 위해 노력하며 사후 리스크 관리를 위해 고매출 상품 및 이슈상품을 대상으로 자체 진정성 검사를 진행하고 외부 기관 및 언론 보도에 언급된 이슈 상품에 대한 검사를 추가적으로 진행하여 외부 품질 이슈에 대응하고 있다.,s
제품 점검,코로나19 이슈로 해외 제조사에 대한 점검이 제한되어 제품 품질관리를 지속하기 위해 2020년부터 글로벌 시험연구기관 해외 지사 인프라를 활용하여 제조사 위탁 점검을 시행했습니다.,s
방송법 제재,방송통신심의위원회는 방송사업자가 제33조의 심의규정을 위반한 경우 5천만 원 이하의 과징금을 부과하거나 제재조치를 명할 수 있다.,s
임직원 복지,중소협력사 임직원의 생활 안정을 위해 자녀 장학금을 지원하고 있으며 자녀 1인당 최대 5백만 원의 교육비를 지원하고 있습니다.,s
위험평가,현대홈쇼핑은 전 사업장과 사내 협력사를 대상으로 연 1회 정기 위험성평가를 실시하고 중대한 사고 발생 시 수시평가를 실시하고 있다.,s
당사 기업지배구조,현대홈쇼핑은 건전하고 투명한 지배구조 확립에 대한 의지 공표 및 주주 등 모든 이해관계자에게 지배구조에 관한 구체적인 정보를 제공함으로써 신뢰를 확보하기 위해 2019년 8월 기업지배구조 헌장을 신규 제정 하였으며 2022년 2월 1차 개정안을 발표했습니다.,g
